name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,aerialWon,interceptionWon,totalTackle,duelLost,fouls,challengeLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,keyPass,totalCross,dispossessed,blockedScoringAttempt,outfielderBlock,accurateCross,aerialLost,bigChanceMissed,captain
Ángelo Campos,Á. Campos,G,1,Peru,False,20.0,14.0,12.0,6.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,90.0,36.0,7.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,32.0,25.0,5.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,47.0,7.0,7.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Zambrano,C. Zambrano,D,5,Peru,False,34.0,31.0,10.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,49.0,7.2,3.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Juan Freytes,J. Freytes,D,2,Argentina,False,54.0,36.0,20.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,76.0,7.7,22.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,37.0,30.0,7.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,52.0,7.0,10.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,False,18.0,13.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,37.0,7.1,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,46.0,34.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,62.0,6.7,18.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Christian Neira,C. Neira,M,17,Peru,False,21.0,18.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,27.0,6.8,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhamir D'Arrigo,J. D'Arrigo,M,11,Peru,False,25.0,24.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,39.0,7.6,5.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,False,12.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,29.0,6.3,13.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeriel De Santis,J. D. Santis,F,18,Venezuela,False,12.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,24.0,6.4,14.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,True,11.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,6.7,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,12.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,6.6,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiovany Ramos,J. Ramos,D,29,Panama,True,8.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,6.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Guzmán,V. Guzmán,F,24,Peru,True,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,6.7,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Gabriel Costa,G. Costa,M,8,Peru,True,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,6.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Franco Saravia,F. Saravia,G,32,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Aranda,S. Aranda,D,21,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
