name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,goalsPrevented,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,wasFouled,keyPass,expectedAssists,challengeLost,outfielderBlock,interceptionWon,errorLeadToAShot,fouls,shotOffTarget,expectedGoals,blockedScoringAttempt,totalTackle,onTargetScoringAttempt,goals,totalOffside,goalAssist,bigChanceCreated,captain
Fábio,Fábio,G,1,Brazil,False,20.0,19.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,31.0,6.9,1.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Xavier,S. Xavier,D,2,Brazil,False,70.0,66.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,95.0,7.0,11.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0356591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Santos,Thiago Santos,D,29,Brazil,False,46.0,38.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,54.0,6.7,8.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00616182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Melo,F. Melo,D,30,Brazil,False,75.0,68.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,81.0,6.7,7.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0131602,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Marcelo,Marcelo,D,12,Brazil,False,64.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,75.0,6.7,14.0,0.0,3.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0192835,0.0,0.0,1.0,0.0,1.0,1.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André,André,M,7,Brazil,False,117.0,113.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,124.0,7.1,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0613131,1.0,1.0,1.0,0.0,0.0,0.0,0.0195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Martinelli,M. Martinelli,M,8,Brazil,False,106.0,97.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,116.0,6.9,10.0,0.0,0.0,0.0,2.0,1.0,5.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0357027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquinhos,Marquinhos,M,77,Brazil,False,64.0,57.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,7.5,19.0,0.0,7.0,1.0,2.0,1.0,9.0,6.0,0.0,7.0,2.0,1.0,2.0,0.127027,0.0,0.0,0.0,0.0,2.0,0.0,0.156,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Renato Augusto,Renato Augusto,M,20,Brazil,False,25.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,6.8,7.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0139783,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Arias,J. Arias,M,21,Colombia,False,82.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,99.0,7.8,8.0,0.0,2.0,0.0,1.0,1.0,4.0,8.0,0.0,5.0,3.0,2.0,2.0,0.0592066,0.0,0.0,1.0,0.0,1.0,1.0,0.0994,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Lelê,Lelê,F,18,Brazil,False,10.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,20.0,6.9,4.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.100335,1.0,0.0,2.0,0.0,2.0,1.0,0.0482,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Lima,Lima,M,45,Brazil,True,47.0,45.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,57.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0136892,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
David Terans,David Terans,M,80,Uruguay,True,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,29.0,6.8,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0308877,0.0,0.0,0.0,0.0,0.0,1.0,0.011,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Costa,D. Costa,M,90,Brazil,True,24.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,36.0,7.1,7.0,0.0,2.0,1.0,1.0,0.0,4.0,5.0,2.0,3.0,3.0,1.0,1.0,0.0597196,0.0,0.0,0.0,0.0,1.0,0.0,0.059,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Kauã Elias,K. Elias,F,19,Brazil,True,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,6.6,3.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Alves,Felipe Alves,G,27,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guga,Guga,D,23,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Andrade,F. Andrade,D,13,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antônio Carlos,A. Carlos,D,25,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur Wenderroscky,A. Wenderroscky,M,28,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexsander,Alexsander,M,5,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Franc Lucumi,J. F. Lucumi,F,17,Colombia,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac,Isaac,F,32,Brazil,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
