name,shortName,position,jerseyNumber,averageX,averageY,pointsCount
Kevin Serna,K. Serna,M,26,73.768421052632,32.847368421053,19
Catriel Cabellos,C. Cabellos,M,27,49.55,41.075,4
Jhamir D´Arrigo,J. D´Arrigo,M,11,53.569565217391,89.608695652174,23
Adrián Arregui,A. Arregui,M,5,55.054285714286,33.085714285714,35
Franco Saravia,F. Saravia,G,32,6.7,48.959459459459,37
Marco Huaman,M. Huaman,D,25,55.555555555556,16.338888888889,36
Cecilio Waterman,C. Waterman,F,30,63.484848484848,59.712121212121,33
Aldair Fuentes,A. Fuentes,M,20,28.453658536585,50.814634146341,41
Hernán Barcos,H. Barcos,F,9,61.258823529412,53.417647058824,17
Juan Freytes,J. Freytes,D,2,41.738961038961,84.433766233766,77
Jesús Castillo,J. Castillo,M,15,44.047368421053,73.440350877193,57
Renzo Garces,R. Garces,D,6,31.195348837209,35.488372093023,43
Sebastián Rodríguez,S. Rodríguez,M,10,55.6,58.208955223881,67
