minute,value
1.0,-1
2.0,-1
3.0,-9
4.0,-6
5.0,-15
6.0,-2
7.0,-2
8.0,-1
9.0,-1
10.0,-8
11.0,36
12.0,17
13.0,-19
14.0,-5
15.0,-3
16.0,-8
17.0,-5
18.0,-58
19.0,-35
20.0,-19
21.0,-20
22.0,-18
23.0,-11
24.0,-39
25.0,-11
26.0,11
27.0,11
28.0,3
29.0,1
30.0,-11
31.0,-10
32.0,-9
33.0,-17
34.0,-72
35.0,-47
36.0,-34
37.0,-36
38.0,-34
39.0,-14
40.0,-18
41.0,-27
42.0,-19
43.0,-22
44.0,-20
45.0,-8
45.5,-7
46.0,3
47.0,-17
48.0,23
49.0,34
50.0,19
51.0,8
52.0,-34
53.0,28
54.0,19
55.0,5
56.0,-3
57.0,-3
58.0,-6
59.0,-49
60.0,-31
61.0,-31
62.0,-21
63.0,-31
64.0,-18
65.0,-13
66.0,-1
67.0,-15
68.0,-3
69.0,-17
70.0,-13
71.0,25
72.0,8
73.0,2
74.0,19
75.0,9
76.0,-25
77.0,-16
78.0,-13
79.0,-34
80.0,-17
81.0,-64
82.0,-42
83.0,-28
84.0,-19
85.0,-15
86.0,-9
87.0,19
88.0,5
89.0,-4
90.0,-4
90.5,20
