name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,averageX,averageY,pointsCount,team
Juan Freytes,,,juan-freytes,J. Freytes,D,2,44,962187,37.944871794872,83.803846153846,78,Alianza Lima
Catriel Cabellos,Catriel Cabellos,,cabellos-catriel,C. Cabellos,M,27,316,1415942,59.318,39.744,50,Alianza Lima
Aldair Fuentes,,,aldair-fuentes,A. Fuentes,M,20,128,876927,33.769444444444,50.905555555556,36,Alianza Lima
Gabriel Costa,,,gabriel-costa,G. Costa,M,8,577,590312,59.5,50.822222222222,9,Alianza Lima
Franco Saravia,,,franco-saravia,F. Saravia,G,32,78,973547,9.2457142857143,47.634285714286,35,Alianza Lima
Jhamir D´Arrigo,,,jhamir-d-arrigo,J. D´Arrigo,M,11,92,1017760,60.972727272727,84.918181818182,22,Alianza Lima
Ricardo Lagos,,,ricardo-lagos,R. Lagos,D,13,91,973682,46.222580645161,67.625806451613,31,Alianza Lima
Axel Moyano,,,axel-moyano,A. Moyano,M,14,39,978545,53.507142857143,49.757142857143,14,Alianza Lima
Sebastián Rodríguez,,,sebastian-rodriguez,S. Rodríguez,M,10,212,47418,47.411827956989,55.117204301075,93,Alianza Lima
Renzo Garces,,,renzo-garces,R. Garces,D,6,70,874985,32.011111111111,44.605555555556,18,Alianza Lima
Cecilio Waterman,,,cecilio-waterman,C. Waterman,F,30,249,159931,66.421428571429,48.564285714286,14,Alianza Lima
Jesús Castillo,,,jesus-castillo,J. Castillo,M,15,81,913398,49.431578947368,74.386842105263,38,Alianza Lima
Jiovany Ramos,,,ramos-jiovany,J. Ramos,D,29,58,1006509,38.664,21.922666666667,75,Alianza Lima
Hernán Barcos,,,hernan-barcos,H. Barcos,F,9,447,31175,59.509803921569,52.986274509804,51,Alianza Lima
Kevin Serna,,,serna-kevin,K. Serna,M,26,97,981374,66.830357142857,16.975,56,Alianza Lima
