ID_Sofascore;Nombre Partido;home;away;# Jornada
13352931;Alianza Lima vs Cusco FC;Alianza Lima;Cusco FC;1
13352939;Sport Huancayo vs AAS;Sport Huancayo;Alianza Atlético de Sullana;1
13352933;Melgar vs UTC;Melgar;Universidad Técnica de Cajamarca;1
13352937;Grau vs Ayacucho;Club Atlético Grau;Ayacucho;1
13352938;AUDH vs Cristal;Alianza Universidad;Club Sporting Cristal;1
13352936;Sport Boys vs JPII;Sport Boys;ADC Juan Pablo II;1
13352932;Comerciantes vs U;Comerciantes Unidos;Universitario;1
13352934;Cienciano vs ADT;Cienciano;Asociación Deportiva Tarma;1
13352935;Chankas vs Garcilaso;Los Chankas CYC;Deportivo Garcilaso;1
13387751;AAS vs Alianza Lima;Alianza Atlético de Sullana;Alianza Lima;2
13387758;Cusco FC vs Melgar;Cusco FC;Melgar;2
13387752;UTC vs Binacional;Universidad Técnica de Cajamarca;Deportivo Binacional;2
13387755;ADT vs Grau;Asociación Deportiva Tarma;Club Atlético Grau;2
13387756;U vs Cienciano;Universitario;Cienciano;2
13387757;Cristal vs Sport Boys;Club Sporting Cristal;Sport Boys;2
13387753;JPII vs Huancayo;ADC Juan Pablo II;Sport Huancayo;2
13387754;Garcilaso vs Comerciantes;Deportivo Garcilaso;Comerciantes Unidos;2
13387759;Ayacucho vs AUDH;Ayacucho;Alianza Universidad;2
13387774;Alianza Lima vs JPII;Alianza Lima;ADC Juan Pablo II;3
13387770;Sport Boys vs Ayacucho;Sport Boys;Ayacucho;3
13387767;Cienciano vs Garcilaso;Cienciano;Deportivo Garcilaso;3
13387766;Sport Huancayo vs Cristal;Sport Huancayo;Club Sporting Cristal;3
13387772;Binacional vs Cusco FC;Deportivo Binacional;Cusco FC;3
13387773;AUDH vs ADT;Alianza Universidad;Asociación Deportiva Tarma;3
13387769;Melgar vs AAS;Melgar;Alianza Atlético de Sullana;3
13387771;Comerciantes vs Chankas;Comerciantes Unidos;Los Chankas CYC;3
13523624;Ayacucho vs Sp. Huancayo;Ayacucho;Sport Huancayo;4
13523626;Cristal vs Alianza Lima;Club Sporting Cristal;Alianza Lima;4
13523644;AAS vs Binacional;Alianza Atlético de Sullana;Deportivo Binacional;4
13523647;Cusco FC vs UTC;Cusco FC;Universidad Técnica de Cajamarca;4
13523648;Garcilaso vs Grau;Deportivo Garcilaso;Club Atlético Grau;4
13523646;ADT vs Sport Boys;Asociación Deportiva Tarma;Sport Boys;4
13523625;U vs AUDH;Universitario;Alianza Universidad;4
13565846;AUDH vs Garcilaso;Alianza Universidad;Deportivo Garcilaso;5
13565847;Alianza Lima vs Ayacucho;Alianza Lima;Ayacucho;5
13565842;UTC vs AAS;Universidad Técnica de Cajamarca;Alianza Atlético de Sullana;5
13565844;Sport Huancayo vs ADT;Sport Huancayo;Asociación Deportiva Tarma;5
13565845;Melgar vs Cristal;Melgar;Club Sporting Cristal;5
13565843;Sport Boys vs U;Sport Boys;Universitario;5
13565841;Cienciano vs Comerciantes;Cienciano;Comerciantes Unidos;5
13565883;Grau vs Los Chankas;Club Atlético Grau;Los Chankas CYC;5
13565884;Binacional vs JPII;Deportivo Binacional;ADC Juan Pablo II;5
