,player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,blockCoordinates,goalType
0,"{'name': 'Kevin Serna', 'firstName': '', 'lastName': '', 'slug': 'serna-kevin', 'shortName': 'K. Serna', 'position': 'M', 'jerseyNumber': '26', 'userCount': 181, 'id': 981374}",True,miss,fast-break,"{'x': 15.8, 'y': 67.8, 'z': 0}",right-foot,left,"{'x': 0, 'y': 65.5, 'z': 11.1}",2455753,87,5188,"{'start': {'x': 67.8, 'y': 15.8}, 'end': {'x': 34.5, 'y': 0}, 'goal': {'x': 34.5, 'y': 88.9}}",4,212,shot,,
1,"{'name': 'Franco Zanelatto', 'slug': 'franco-zanelatto', 'shortName': 'F. Zanelatto', 'position': 'M', 'jerseyNumber': '7', 'userCount': 397, 'id': 973650}",True,post,assisted,"{'x': 27.2, 'y': 65.8, 'z': 0}",right-foot,high,"{'x': 0, 'y': 46.6, 'z': 39.2}",2455752,83,4927,"{'start': {'x': 65.8, 'y': 27.2}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 60.8}}",8,473,shot,,
2,"{'name': 'Geisson Perea', 'slug': 'geisson-perea', 'shortName': 'G. Perea', 'position': 'D', 'jerseyNumber': '6', 'userCount': 27, 'id': 1018134}",False,post,assisted,"{'x': 36.7, 'y': 33.4, 'z': 0}",right-foot,high,"{'x': 0, 'y': 49.7, 'z': 39.9}",2455751,81,4836,"{'start': {'x': 33.4, 'y': 36.7}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 60.1}}",10,564,shot,,
3,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,save,regular,"{'x': 11.4, 'y': 62.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 8.9}",2455750,79,4703,"{'start': {'x': 62.6, 'y': 11.4}, 'block': {'x': 51.3, 'y': 0.90000000000001}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 91.1}}",12,697,shot,"{'x': 0.90000000000001, 'y': 51.3, 'z': 0}",
4,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,miss,fast-break,"{'x': 10.3, 'y': 31.8, 'z': 0}",left-foot,right,"{'x': 0, 'y': 38.5, 'z': 6.9}",2455742,69,4119,"{'start': {'x': 31.8, 'y': 10.3}, 'end': {'x': 61.5, 'y': 0}, 'goal': {'x': 61.5, 'y': 93.1}}",22,1281,shot,,
5,"{'name': 'Kevin Serna', 'firstName': '', 'lastName': '', 'slug': 'serna-kevin', 'shortName': 'K. Serna', 'position': 'M', 'jerseyNumber': '26', 'userCount': 181, 'id': 981374}",True,block,corner,"{'x': 23.1, 'y': 53.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 19}",2455740,65,3855,"{'start': {'x': 53.4, 'y': 23.1}, 'block': {'x': 51.8, 'y': 12.8}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 81}}",26,1545,shot,"{'x': 12.8, 'y': 51.8, 'z': 0}",
6,"{'name': 'Jiovany Ramos', 'slug': 'ramos-jiovany', 'shortName': 'J. Ramos', 'position': 'D', 'jerseyNumber': '29', 'userCount': 91, 'id': 1006509}",True,miss,corner,"{'x': 12.7, 'y': 49, 'z': 0}",head,high,"{'x': 0, 'y': 50.6, 'z': 73.6}",2455738,54,3239,"{'start': {'x': 49, 'y': 12.7}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 26.4}}",37,2161,shot,,
7,"{'name': 'Catriel Cabellos', 'firstName': 'Catriel Cabellos', 'lastName': '', 'slug': 'cabellos-catriel', 'shortName': 'C. Cabellos', 'position': 'M', 'jerseyNumber': '27', 'userCount': 347, 'id': 1415942}",True,goal,assisted,"{'x': 24.8, 'y': 31, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.1, 'z': 29.1}",2455732,49,2925,"{'start': {'x': 31, 'y': 24.8}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 70.9}}",42,2475,shot,,regular
8,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,miss,regular,"{'x': 53.6, 'y': 20.3, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 61.3, 'z': 47.2}",2455719,44,2601,"{'start': {'x': 20.3, 'y': 53.6}, 'end': {'x': 38.7, 'y': 0}, 'goal': {'x': 38.7, 'y': 52.8}}",2,99,shot,,
9,"{'name': 'Cecilio Waterman', 'slug': 'cecilio-waterman', 'shortName': 'C. Waterman', 'position': 'F', 'jerseyNumber': '30', 'userCount': 315, 'id': 159931}",True,goal,assisted,"{'x': 10.1, 'y': 49, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.3, 'z': 17.1}",2455711,39,2337,"{'start': {'x': 49, 'y': 10.1}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 82.9}}",7,363,shot,,regular
10,"{'name': 'Catriel Cabellos', 'firstName': 'Catriel Cabellos', 'lastName': '', 'slug': 'cabellos-catriel', 'shortName': 'C. Cabellos', 'position': 'M', 'jerseyNumber': '27', 'userCount': 347, 'id': 1415942}",True,miss,assisted,"{'x': 8.6, 'y': 60.6, 'z': 0}",left-foot,left,"{'x': 0, 'y': 60, 'z': 13.9}",2455708,38,2244,"{'start': {'x': 60.6, 'y': 8.6}, 'end': {'x': 40, 'y': 0}, 'goal': {'x': 40, 'y': 86.1}}",8,456,shot,,
11,"{'name': 'Cecilio Waterman', 'slug': 'cecilio-waterman', 'shortName': 'C. Waterman', 'position': 'F', 'jerseyNumber': '30', 'userCount': 315, 'id': 159931}",True,save,set-piece,"{'x': 1, 'y': 60.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.9, 'z': 12}",2455718,37,2192,"{'start': {'x': 60.8, 'y': 1}, 'block': {'x': 54.7, 'y': 0.2}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 88}}",9,508,shot,"{'x': 0.2, 'y': 54.7, 'z': 0}",
12,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,save,set-piece,"{'x': 11.9, 'y': 53.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 11.4}",2455709,37,2190,"{'start': {'x': 53.8, 'y': 11.9}, 'block': {'x': 50.5, 'y': 0.90000000000001}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 88.6}}",9,510,shot,"{'x': 0.90000000000001, 'y': 50.5, 'z': 0}",
13,"{'name': 'Óscar Barreto', 'slug': 'oscar-barreto', 'shortName': 'Ó. Barreto', 'position': 'M', 'jerseyNumber': '7', 'userCount': 38, 'id': 840530}",False,miss,assisted,"{'x': 29.8, 'y': 47.3, 'z': 0}",right-foot,right,"{'x': 0, 'y': 37, 'z': 15.3}",2455705,35,2078,"{'start': {'x': 47.3, 'y': 29.8}, 'end': {'x': 63, 'y': 0}, 'goal': {'x': 63, 'y': 84.7}}",11,622,shot,,
14,"{'name': 'Jiovany Ramos', 'slug': 'ramos-jiovany', 'shortName': 'J. Ramos', 'position': 'D', 'jerseyNumber': '29', 'userCount': 91, 'id': 1006509}",True,miss,assisted,"{'x': 19.5, 'y': 75.7, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.5, 'z': 54.2}",2455700,34,2002,"{'start': {'x': 75.7, 'y': 19.5}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 45.8}}",12,698,shot,,
15,"{'name': 'Adrián Arregui', 'slug': 'adrian-arregui', 'shortName': 'A. Arregui', 'position': 'M', 'jerseyNumber': '5', 'userCount': 93, 'id': 789372}",True,miss,corner,"{'x': 6.5, 'y': 41.2, 'z': 0}",right-foot,left,"{'x': 0, 'y': 60.8, 'z': 12.5}",2455691,29,1709,"{'start': {'x': 41.2, 'y': 6.5}, 'end': {'x': 39.2, 'y': 0}, 'goal': {'x': 39.2, 'y': 87.5}}",17,991,shot,,
16,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,block,corner,"{'x': 11, 'y': 40.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 19}",2455697,29,1707,"{'start': {'x': 40.3, 'y': 11}, 'block': {'x': 43.7, 'y': 7.7}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 81}}",17,993,shot,"{'x': 7.7, 'y': 43.7, 'z': 0}",
17,"{'name': 'Adrián Arregui', 'slug': 'adrian-arregui', 'shortName': 'A. Arregui', 'position': 'M', 'jerseyNumber': '5', 'userCount': 93, 'id': 789372}",True,save,corner,"{'x': 5.4, 'y': 43.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 8.2}",2455702,29,1701,"{'start': {'x': 43.7, 'y': 5.4}, 'block': {'x': 49.3, 'y': 0.7}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 91.8}}",17,999,shot,"{'x': 0.7, 'y': 49.3, 'z': 0}",
18,"{'name': 'Hernán Barcos', 'slug': 'hernan-barcos', 'shortName': 'H. Barcos', 'position': 'F', 'jerseyNumber': '9', 'userCount': 592, 'id': 31175}",True,block,corner,"{'x': 15.8, 'y': 59.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.8, 'z': 19}",2455699,29,1700,"{'start': {'x': 59.6, 'y': 15.8}, 'block': {'x': 54.9, 'y': 7}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 81}}",17,1000,shot,"{'x': 7, 'y': 54.9, 'z': 0}",
19,"{'name': 'Cecilio Waterman', 'slug': 'cecilio-waterman', 'shortName': 'C. Waterman', 'position': 'F', 'jerseyNumber': '30', 'userCount': 315, 'id': 159931}",True,block,corner,"{'x': 7.6, 'y': 47.9, 'z': 0}",head,low-left,"{'x': 0, 'y': 53, 'z': 19}",2455707,28,1656,"{'start': {'x': 47.9, 'y': 7.6}, 'block': {'x': 47.7, 'y': 5.4}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 81}}",18,1044,shot,"{'x': 5.4, 'y': 47.7, 'z': 0}",
20,"{'name': 'Óscar Barreto', 'slug': 'oscar-barreto', 'shortName': 'Ó. Barreto', 'position': 'M', 'jerseyNumber': '7', 'userCount': 38, 'id': 840530}",False,goal,assisted,"{'x': 1.8, 'y': 54, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.3, 'z': 13.9}",2455683,22,1283,"{'start': {'x': 54, 'y': 1.8}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 86.1}}",24,1417,shot,,regular
21,"{'name': 'Catriel Cabellos', 'firstName': 'Catriel Cabellos', 'lastName': '', 'slug': 'cabellos-catriel', 'shortName': 'C. Cabellos', 'position': 'M', 'jerseyNumber': '27', 'userCount': 347, 'id': 1415942}",True,save,fast-break,"{'x': 9.9, 'y': 44.8, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 32.9}",2455677,15,884,"{'start': {'x': 44.8, 'y': 9.9}, 'block': {'x': 49.5, 'y': 1.9}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 67.1}}",31,1816,shot,"{'x': 1.9, 'y': 49.5, 'z': 0}",
22,"{'name': 'Cecilio Waterman', 'slug': 'cecilio-waterman', 'shortName': 'C. Waterman', 'position': 'F', 'jerseyNumber': '30', 'userCount': 315, 'id': 159931}",True,miss,assisted,"{'x': 10.8, 'y': 51.7, 'z': 0}",right-foot,high,"{'x': 0, 'y': 45.4, 'z': 80.6}",2455670,10,561,"{'start': {'x': 51.7, 'y': 10.8}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 19.4}}",36,2139,shot,,
23,"{'name': 'Juan Freytes', 'firstName': '', 'lastName': '', 'slug': 'juan-freytes', 'shortName': 'J. Freytes', 'position': 'D', 'jerseyNumber': '2', 'userCount': 95, 'id': 962187}",True,save,assisted,"{'x': 10.5, 'y': 18.9, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 47.5, 'z': 21.5}",2455667,7,387,"{'start': {'x': 18.9, 'y': 10.5}, 'block': {'x': 48.6, 'y': 0.59999999999999}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 78.5}}",39,2313,shot,"{'x': 0.59999999999999, 'y': 48.6, 'z': 0}",
